Date,Open,High,Low,Close,Adj Close,Volume
01-01-1996,5.55,5.6,5.533333,5.583333,3.323907,985500
02-01-1996,5.466666,5.566666,5.288888,5.372222,3.198226,7470000
03-01-1996,5.133333,5.254444,5.101111,5.2,3.095698,15160500
04-01-1996,5.2,5.332222,5.144444,5.297777,3.153908,12397500
05-01-1996,5.297777,5.277777,5.188888,5.202222,3.09702,5008500
08-01-1996,5.202222,5.238888,5.011111,5.042222,3.001769,12645000
09-01-1996,5.042222,5.108888,4.983333,5.028888,2.99383,8968500
10-01-1996,5.028888,5.111111,4.977777,5.012222,2.983909,2988000
11-01-1996,5.012222,5.043333,4.988888,5.038888,2.999783,2227500
12-01-1996,5.038888,5.133333,5.022222,5.088888,3.02955,4806000
15-01-1996,5.088888,5.111111,5.027777,5.034444,2.997138,2020500
16-01-1996,5.034444,5.067777,5,5.018888,2.987876,3082500
17-01-1996,5.018888,5.044444,5.002222,5.017777,2.987216,3078000
18-01-1996,5.017777,4.997777,4.888888,4.955555,2.950174,5148000
19-01-1996,4.955555,4.966666,4.627777,4.741111,2.822509,16128000
22-01-1996,4.741111,4.775555,4.645555,4.707777,2.802665,3946500
23-01-1996,4.707777,4.747777,4.377777,4.416666,2.629359,7947000
24-01-1996,4.416666,4.477777,4.15,4.225555,2.515585,15763500
25-01-1996,4.225555,4.222222,4.144444,4.182222,2.489788,8140500
26-01-1996,4.182222,4.182222,4.182222,4.182222,2.489788,0
29-01-1996,4.182222,4.505555,4.167777,4.416666,2.629359,9639000
30-01-1996,4.416666,4.821111,4.44,4.692222,2.793405,15669000
31-01-1996,4.692222,4.65,4.46,4.516666,2.688891,9598500
01-02-1996,4.516666,4.866666,4.522222,4.797777,2.856244,12573000
02-02-1996,4.887777,5.444444,4.844444,5.347777,3.183673,28179000
05-02-1996,5.347777,5.888888,5.355555,5.621111,3.346396,18873000
06-02-1996,5.733333,5.776666,5.412222,5.567777,3.314645,14112000
07-02-1996,5.488888,5.6,5.335555,5.485555,3.265695,13968000
08-02-1996,5.555555,6.062222,5.488888,6.062222,3.609001,21955500
09-02-1996,6.062222,6.396666,6.068888,6.262222,3.728066,12181500
12-02-1996,6.344444,6.344444,6,6.065555,3.610985,14436000
13-02-1996,6.065555,6.288888,6,6.21,3.696978,11718000
14-02-1996,6.311111,6.588888,6.311111,6.403333,3.812075,9598500
15-02-1996,6.403333,6.644444,6.333333,6.466666,3.849777,16924500
16-02-1996,6.311111,6.488888,6.155555,6.274444,3.735343,12861000
19-02-1996,6.275555,6.388888,6.266666,6.272222,3.73402,5913000
20-02-1996,6.333333,6.333333,5.866666,5.996666,3.569974,9823500
21-02-1996,5.996666,5.996666,5.996666,5.996666,3.569974,0
22-02-1996,5.996666,6.221111,6.127777,6.143333,3.657289,3231000
23-02-1996,6.143333,6.155555,5.98,6.064444,3.610324,3168000
26-02-1996,6.064444,6.222222,6.002222,6.078888,3.618924,4230000
27-02-1996,6.078888,6.144444,6.022222,6.06,3.60768,4432500
28-02-1996,6.06,6.218888,6,6.025555,3.587172,3217500
29-02-1996,6.025555,6,5.556666,5.645555,3.360948,8167500
01-03-1996,5.645555,5.8,5.603333,5.742222,3.418497,6880500
04-03-1996,5.742222,5.833333,5.688888,5.765555,3.432388,6084000
05-03-1996,5.765555,5.765555,5.765555,5.765555,3.432388,0
06-03-1996,5.765555,5.78,5.644444,5.758888,3.428418,3960000
07-03-1996,5.758888,5.822222,5.656666,5.686666,3.385423,4450500
08-03-1996,5.686666,5.622222,5.511111,5.603333,3.335813,5472000
11-03-1996,5.603333,5.574444,5.401111,5.45,3.244529,4653000
12-03-1996,5.45,5.444444,5.267777,5.292222,3.1506,4117500
13-03-1996,5.292222,5.733333,5.313333,5.712222,3.400637,8941500
14-03-1996,5.733333,5.866666,5.623333,5.674444,3.378147,12537000
15-03-1996,5.674444,5.711111,5.588888,5.606666,3.337797,13815000
18-03-1996,5.311111,5.373333,5.166666,5.214444,3.104298,17239500
19-03-1996,5.155555,5.311111,5.004444,5.088888,3.02955,15408000
20-03-1996,5.088888,5.088888,5.088888,5.088888,3.02955,0
21-03-1996,5.133333,5.344444,5.133333,5.232222,3.114881,10872000
22-03-1996,5.232222,5.2,4.8,4.935555,2.938267,21861000
25-03-1996,4.777777,4.777777,4.466666,4.602222,2.739825,55692000
26-03-1996,4.516666,4.866666,4.512222,4.751111,2.828463,34699500
27-03-1996,4.711111,4.872222,4.711111,4.817777,2.868151,26779500
28-03-1996,4.934444,5.088888,4.933333,5.07,3.018306,33025500
29-03-1996,5.088888,5.133333,4.913333,4.975555,2.96208,23152500
01-04-1996,4.974444,5.088888,4.974444,5.044444,3.003092,12132000
02-04-1996,5.044444,5.311111,5.033333,5.221111,3.108265,32967000
03-04-1996,5.221111,5.422222,5.181111,5.218888,3.106942,16245000
04-04-1996,5.156666,5.366666,5.112222,5.352222,3.18632,42660000
05-04-1996,5.352222,5.352222,5.352222,5.352222,3.18632,0
08-04-1996,5.453333,5.637777,5.4,5.6,3.333827,49014000
09-04-1996,5.6,5.833333,5.58,5.697777,3.392037,48334500
10-04-1996,5.627777,5.727777,5.467777,5.532222,3.293478,42376500
11-04-1996,5.444444,5.534444,5.406666,5.483333,3.264374,33498000
12-04-1996,5.467777,5.538888,5.446666,5.527777,3.290832,18441000
15-04-1996,5.527777,5.633333,5.511111,5.533333,3.29414,22684500
16-04-1996,5.533333,5.753333,5.532222,5.652222,3.364918,34299000
17-04-1996,5.82,5.964444,5.778888,5.931111,3.530948,33628500
18-04-1996,6.128888,6.222222,6.068888,6.115555,3.640753,37921500
19-04-1996,6.115555,6.197777,6.055555,6.083333,3.621569,26325000
22-04-1996,6.088888,6.106666,5.888888,5.933333,3.53227,35055000
23-04-1996,5.855555,6.076666,5.844444,6.026666,3.587834,34960500
24-04-1996,6.026666,6.288888,6.166666,6.26,3.726745,23674500
25-04-1996,6.266666,6.266666,5.911111,5.985555,3.56336,23670000
26-04-1996,6.044444,6.2,5.978888,6.083333,3.621569,20560500
29-04-1996,6.083333,6.144444,5.935555,6.114444,3.64009,17212500
30-04-1996,6.114444,6.122222,6,6.053333,3.60371,13378500
01-05-1996,6.053333,6.177777,6.077777,6.138888,3.654643,5935500
02-05-1996,6.138888,6.153333,6.005555,6.135555,3.652659,19174500
03-05-1996,6.113333,6.211111,6.058888,6.082222,3.620909,24403500
06-05-1996,5.988888,6,5.826666,5.841111,3.477368,20434500
07-05-1996,5.841111,5.911111,5.782222,5.863333,3.490597,9841500
08-05-1996,5.863333,5.994444,5.612222,5.937777,3.534916,28692000
09-05-1996,5.877777,5.952222,5.813333,5.837777,3.475384,14679000
10-05-1996,5.837777,5.908888,5.712222,5.871111,3.495228,20101500
13-05-1996,6,6.211111,5.956666,6.148888,3.660596,31594500
14-05-1996,6.133333,6.533333,6.116666,6.472222,3.853085,66078000
15-05-1996,6.444444,6.466666,6.173333,6.413333,3.818027,50305500
16-05-1996,6.466666,6.576666,6.388888,6.436666,3.831918,33187500
17-05-1996,6.436666,6.436666,6.313333,6.345555,3.777678,21501000
20-05-1996,6.177777,6.211111,6.002222,6.021111,3.584527,18441000
21-05-1996,5.955555,6.054444,5.856666,5.912222,3.519703,35910000
